SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35036,OPTIDX,0,BANKNIFTY-Oct2024-61900-CE,15.0,BANKNIFTY 09 OCT 61900 CALL,2024-10-09 14:30:00,61900.0,CE,5.0,W,OP,,
NSE,D,35037,OPTIDX,0,BANKNIFTY-Oct2024-61900-PE,15.0,BANKNIFTY 09 OCT 61900 PUT,2024-10-09 14:30:00,61900.0,PE,5.0,W,OP,,
NSE,D,35063,OPTIDX,0,BANKNIFTY-Oct2024-60900-CE,15.0,BANKNIFTY 09 OCT 60900 CALL,2024-10-09 14:30:00,60900.0,CE,5.0,W,OP,,
NSE,D,35077,OPTIDX,0,BANKNIFTY-Oct2024-60600-CE,15.0,BANKNIFTY 09 OCT 60600 CALL,2024-10-09 14:30:00,60600.0,CE,5.0,W,OP,,
NSE,D,35078,OPTIDX,0,BANKNIFTY-Oct2024-29000-CE,15.0,BANKNIFTY 09 OCT 29000 CALL,2024-10-09 14:30:00,29000.0,CE,5.0,W,OP,,
NSE,D,35079,OPTIDX,0,BANKNIFTY-Oct2024-60600-PE,15.0,BANKNIFTY 09 OCT 60600 PUT,2024-10-09 14:30:00,60600.0,PE,5.0,W,OP,,
NSE,D,35081,OPTIDX,0,BANKNIFTY-Oct2024-60700-CE,15.0,BANKNIFTY 09 OCT 60700 CALL,2024-10-09 14:30:00,60700.0,CE,5.0,W,OP,,
NSE,D,35082,OPTIDX,0,BANKNIFTY-Oct2024-60700-PE,15.0,BANKNIFTY 09 OCT 60700 PUT,2024-10-09 14:30:00,60700.0,PE,5.0,W,OP,,
NSE,D,35083,OPTIDX,0,BANKNIFTY-Oct2024-60900-PE,15.0,BANKNIFTY 09 OCT 60900 PUT,2024-10-09 14:30:00,60900.0,PE,5.0,W,OP,,
NSE,D,35093,OPTIDX,0,BANKNIFTY-Oct2024-60800-CE,15.0,BANKNIFTY 09 OCT 60800 CALL,2024-10-09 14:30:00,60800.0,CE,5.0,W,OP,,
NSE,D,35094,OPTIDX,0,BANKNIFTY-Oct2024-60800-PE,15.0,BANKNIFTY 09 OCT 60800 PUT,2024-10-09 14:30:00,60800.0,PE,5.0,W,OP,,
NSE,D,35119,OPTIDX,0,BANKNIFTY-Oct2024-74500-CE,15.0,BANKNIFTY 09 OCT 74500 CALL,2024-10-09 14:30:00,74500.0,CE,5.0,W,OP,,
NSE,D,35120,OPTIDX,0,BANKNIFTY-Oct2024-74500-PE,15.0,BANKNIFTY 09 OCT 74500 PUT,2024-10-09 14:30:00,74500.0,PE,5.0,W,OP,,
NSE,D,35148,OPTIDX,0,BANKNIFTY-Oct2024-61300-CE,15.0,BANKNIFTY 09 OCT 61300 CALL,2024-10-09 14:30:00,61300.0,CE,5.0,W,OP,,
NSE,D,35152,OPTIDX,0,BANKNIFTY-Oct2024-61300-PE,15.0,BANKNIFTY 09 OCT 61300 PUT,2024-10-09 14:30:00,61300.0,PE,5.0,W,OP,,
NSE,D,35154,OPTIDX,0,BANKNIFTY-Oct2024-61400-CE,15.0,BANKNIFTY 09 OCT 61400 CALL,2024-10-09 14:30:00,61400.0,CE,5.0,W,OP,,
NSE,D,35164,OPTIDX,0,BANKNIFTY-Oct2024-61400-PE,15.0,BANKNIFTY 09 OCT 61400 PUT,2024-10-09 14:30:00,61400.0,PE,5.0,W,OP,,
NSE,D,35167,OPTIDX,0,BANKNIFTY-Oct2024-61600-CE,15.0,BANKNIFTY 09 OCT 61600 CALL,2024-10-09 14:30:00,61600.0,CE,5.0,W,OP,,
NSE,D,35185,OPTIDX,0,BANKNIFTY-Oct2024-61600-PE,15.0,BANKNIFTY 09 OCT 61600 PUT,2024-10-09 14:30:00,61600.0,PE,5.0,W,OP,,
NSE,D,35195,OPTIDX,0,BANKNIFTY-Oct2024-61700-CE,15.0,BANKNIFTY 09 OCT 61700 CALL,2024-10-09 14:30:00,61700.0,CE,5.0,W,OP,,
NSE,D,35197,OPTIDX,0,BANKNIFTY-Oct2024-61700-PE,15.0,BANKNIFTY 09 OCT 61700 PUT,2024-10-09 14:30:00,61700.0,PE,5.0,W,OP,,
NSE,D,35198,OPTIDX,0,BANKNIFTY-Oct2024-61800-CE,15.0,BANKNIFTY 09 OCT 61800 CALL,2024-10-09 14:30:00,61800.0,CE,5.0,W,OP,,
NSE,D,35260,OPTIDX,0,BANKNIFTY-Oct2024-61800-PE,15.0,BANKNIFTY 09 OCT 61800 PUT,2024-10-09 14:30:00,61800.0,PE,5.0,W,OP,,
NSE,D,35261,OPTIDX,0,BANKNIFTY-Oct2024-75000-CE,15.0,BANKNIFTY 09 OCT 75000 CALL,2024-10-09 14:30:00,75000.0,CE,5.0,W,OP,,
NSE,D,35268,OPTIDX,0,BANKNIFTY-Oct2024-75000-PE,15.0,BANKNIFTY 09 OCT 75000 PUT,2024-10-09 14:30:00,75000.0,PE,5.0,W,OP,,
NSE,D,35269,OPTIDX,0,BANKNIFTY-Oct2024-75500-CE,15.0,BANKNIFTY 09 OCT 75500 CALL,2024-10-09 14:30:00,75500.0,CE,5.0,W,OP,,
NSE,D,35271,OPTIDX,0,BANKNIFTY-Oct2024-75500-PE,15.0,BANKNIFTY 09 OCT 75500 PUT,2024-10-09 14:30:00,75500.0,PE,5.0,W,OP,,
NSE,D,35368,OPTIDX,0,BANKNIFTY-Oct2024-29000-PE,15.0,BANKNIFTY 09 OCT 29000 PUT,2024-10-09 14:30:00,29000.0,PE,5.0,W,OP,,
NSE,D,35369,OPTIDX,0,BANKNIFTY-Oct2024-29500-CE,15.0,BANKNIFTY 09 OCT 29500 CALL,2024-10-09 14:30:00,29500.0,CE,5.0,W,OP,,
NSE,D,35374,OPTIDX,0,BANKNIFTY-Oct2024-29500-PE,15.0,BANKNIFTY 09 OCT 29500 PUT,2024-10-09 14:30:00,29500.0,PE,5.0,W,OP,,
NSE,D,35375,OPTIDX,0,BANKNIFTY-Oct2024-30000-CE,15.0,BANKNIFTY 09 OCT 30000 CALL,2024-10-09 14:30:00,30000.0,CE,5.0,W,OP,,
NSE,D,35387,OPTIDX,0,BANKNIFTY-Oct2024-30000-PE,15.0,BANKNIFTY 09 OCT 30000 PUT,2024-10-09 14:30:00,30000.0,PE,5.0,W,OP,,
NSE,D,35389,OPTIDX,0,BANKNIFTY-Oct2024-30500-CE,15.0,BANKNIFTY 09 OCT 30500 CALL,2024-10-09 14:30:00,30500.0,CE,5.0,W,OP,,
NSE,D,35392,OPTIDX,0,BANKNIFTY-Oct2024-30500-PE,15.0,BANKNIFTY 09 OCT 30500 PUT,2024-10-09 14:30:00,30500.0,PE,5.0,W,OP,,
NSE,D,35433,OPTIDX,0,BANKNIFTY-Oct2024-28000-CE,15.0,BANKNIFTY 09 OCT 28000 CALL,2024-10-09 14:30:00,28000.0,CE,5.0,W,OP,,
NSE,D,35443,OPTIDX,0,BANKNIFTY-Oct2024-28000-PE,15.0,BANKNIFTY 09 OCT 28000 PUT,2024-10-09 14:30:00,28000.0,PE,5.0,W,OP,,
NSE,D,35444,OPTIDX,0,BANKNIFTY-Oct2024-28500-CE,15.0,BANKNIFTY 09 OCT 28500 CALL,2024-10-09 14:30:00,28500.0,CE,5.0,W,OP,,
NSE,D,35445,OPTIDX,0,BANKNIFTY-Oct2024-28500-PE,15.0,BANKNIFTY 09 OCT 28500 PUT,2024-10-09 14:30:00,28500.0,PE,5.0,W,OP,,
NSE,D,35452,OPTIDX,0,BANKNIFTY-Oct2024-41600-CE,15.0,BANKNIFTY 09 OCT 41600 CALL,2024-10-09 14:30:00,41600.0,CE,5.0,W,OP,,
NSE,D,35458,OPTIDX,0,BANKNIFTY-Oct2024-41600-PE,15.0,BANKNIFTY 09 OCT 41600 PUT,2024-10-09 14:30:00,41600.0,PE,5.0,W,OP,,
NSE,D,35532,OPTIDX,0,BANKNIFTY-Oct2024-31000-CE,15.0,BANKNIFTY 09 OCT 31000 CALL,2024-10-09 14:30:00,31000.0,CE,5.0,W,OP,,
NSE,D,35549,OPTIDX,0,BANKNIFTY-Oct2024-41700-CE,15.0,BANKNIFTY 09 OCT 41700 CALL,2024-10-09 14:30:00,41700.0,CE,5.0,W,OP,,
NSE,D,35550,OPTIDX,0,BANKNIFTY-Oct2024-41700-PE,15.0,BANKNIFTY 09 OCT 41700 PUT,2024-10-09 14:30:00,41700.0,PE,5.0,W,OP,,
NSE,D,35551,OPTIDX,0,BANKNIFTY-Oct2024-41800-CE,15.0,BANKNIFTY 09 OCT 41800 CALL,2024-10-09 14:30:00,41800.0,CE,5.0,W,OP,,
NSE,D,35552,OPTIDX,0,BANKNIFTY-Oct2024-41800-PE,15.0,BANKNIFTY 09 OCT 41800 PUT,2024-10-09 14:30:00,41800.0,PE,5.0,W,OP,,
NSE,D,35722,OPTIDX,0,BANKNIFTY-Oct2024-41900-CE,15.0,BANKNIFTY 09 OCT 41900 CALL,2024-10-09 14:30:00,41900.0,CE,5.0,W,OP,,
NSE,D,35723,OPTIDX,0,BANKNIFTY-Oct2024-41900-PE,15.0,BANKNIFTY 09 OCT 41900 PUT,2024-10-09 14:30:00,41900.0,PE,5.0,W,OP,,
NSE,D,35724,OPTIDX,0,BANKNIFTY-Oct2024-42100-CE,15.0,BANKNIFTY 09 OCT 42100 CALL,2024-10-09 14:30:00,42100.0,CE,5.0,W,OP,,
NSE,D,35725,OPTIDX,0,BANKNIFTY-Oct2024-42100-PE,15.0,BANKNIFTY 09 OCT 42100 PUT,2024-10-09 14:30:00,42100.0,PE,5.0,W,OP,,
NSE,D,35761,OPTIDX,0,BANKNIFTY-Oct2024-42200-CE,15.0,BANKNIFTY 09 OCT 42200 CALL,2024-10-09 14:30:00,42200.0,CE,5.0,W,OP,,
NSE,D,35770,OPTIDX,0,BANKNIFTY-Oct2024-42200-PE,15.0,BANKNIFTY 09 OCT 42200 PUT,2024-10-09 14:30:00,42200.0,PE,5.0,W,OP,,
NSE,D,35791,OPTIDX,0,BANKNIFTY-Oct2024-42300-CE,15.0,BANKNIFTY 09 OCT 42300 CALL,2024-10-09 14:30:00,42300.0,CE,5.0,W,OP,,
NSE,D,35794,OPTIDX,0,BANKNIFTY-Oct2024-42300-PE,15.0,BANKNIFTY 09 OCT 42300 PUT,2024-10-09 14:30:00,42300.0,PE,5.0,W,OP,,
NSE,D,35892,OPTIDX,0,BANKNIFTY-Oct2024-31000-PE,15.0,BANKNIFTY 09 OCT 31000 PUT,2024-10-09 14:30:00,31000.0,PE,5.0,W,OP,,
NSE,D,35926,OPTIDX,0,BANKNIFTY-Oct2024-31500-CE,15.0,BANKNIFTY 09 OCT 31500 CALL,2024-10-09 14:30:00,31500.0,CE,5.0,W,OP,,
NSE,D,36161,OPTIDX,0,BANKNIFTY-Oct2024-31500-PE,15.0,BANKNIFTY 09 OCT 31500 PUT,2024-10-09 14:30:00,31500.0,PE,5.0,W,OP,,
NSE,D,37579,OPTIDX,0,BANKNIFTY-Oct2024-32000-CE,15.0,BANKNIFTY 09 OCT 32000 CALL,2024-10-09 14:30:00,32000.0,CE,5.0,W,OP,,
NSE,D,37580,OPTIDX,0,BANKNIFTY-Oct2024-32000-PE,15.0,BANKNIFTY 09 OCT 32000 PUT,2024-10-09 14:30:00,32000.0,PE,5.0,W,OP,,
NSE,D,37597,OPTIDX,0,BANKNIFTY-Oct2024-32500-CE,15.0,BANKNIFTY 09 OCT 32500 CALL,2024-10-09 14:30:00,32500.0,CE,5.0,W,OP,,
NSE,D,37598,OPTIDX,0,BANKNIFTY-Oct2024-32500-PE,15.0,BANKNIFTY 09 OCT 32500 PUT,2024-10-09 14:30:00,32500.0,PE,5.0,W,OP,,
NSE,D,37775,OPTIDX,0,BANKNIFTY-Oct2024-33000-CE,15.0,BANKNIFTY 09 OCT 33000 CALL,2024-10-09 14:30:00,33000.0,CE,5.0,W,OP,,
NSE,D,37777,OPTIDX,0,BANKNIFTY-Oct2024-33000-PE,15.0,BANKNIFTY 09 OCT 33000 PUT,2024-10-09 14:30:00,33000.0,PE,5.0,W,OP,,
NSE,D,37898,OPTIDX,0,BANKNIFTY-Oct2024-33500-CE,15.0,BANKNIFTY 09 OCT 33500 CALL,2024-10-09 14:30:00,33500.0,CE,5.0,W,OP,,
NSE,D,37899,OPTIDX,0,BANKNIFTY-Oct2024-33500-PE,15.0,BANKNIFTY 09 OCT 33500 PUT,2024-10-09 14:30:00,33500.0,PE,5.0,W,OP,,
NSE,D,38055,OPTIDX,0,BANKNIFTY-Oct2024-34000-CE,15.0,BANKNIFTY 09 OCT 34000 CALL,2024-10-09 14:30:00,34000.0,CE,5.0,W,OP,,
NSE,D,38058,OPTIDX,0,BANKNIFTY-Oct2024-34000-PE,15.0,BANKNIFTY 09 OCT 34000 PUT,2024-10-09 14:30:00,34000.0,PE,5.0,W,OP,,
NSE,D,38183,OPTIDX,0,BANKNIFTY-Oct2024-34500-CE,15.0,BANKNIFTY 09 OCT 34500 CALL,2024-10-09 14:30:00,34500.0,CE,5.0,W,OP,,
NSE,D,38184,OPTIDX,0,BANKNIFTY-Oct2024-34500-PE,15.0,BANKNIFTY 09 OCT 34500 PUT,2024-10-09 14:30:00,34500.0,PE,5.0,W,OP,,
NSE,D,40321,OPTIDX,0,BANKNIFTY-Oct2024-63200-CE,15.0,BANKNIFTY 09 OCT 63200 CALL,2024-10-09 14:30:00,63200.0,CE,5.0,W,OP,,
NSE,D,40322,OPTIDX,0,BANKNIFTY-Oct2024-63200-PE,15.0,BANKNIFTY 09 OCT 63200 PUT,2024-10-09 14:30:00,63200.0,PE,5.0,W,OP,,
NSE,D,40323,OPTIDX,0,BANKNIFTY-Oct2024-63300-CE,15.0,BANKNIFTY 09 OCT 63300 CALL,2024-10-09 14:30:00,63300.0,CE,5.0,W,OP,,
NSE,D,40324,OPTIDX,0,BANKNIFTY-Oct2024-63300-PE,15.0,BANKNIFTY 09 OCT 63300 PUT,2024-10-09 14:30:00,63300.0,PE,5.0,W,OP,,
NSE,D,40325,OPTIDX,0,BANKNIFTY-Oct2024-63400-CE,15.0,BANKNIFTY 09 OCT 63400 CALL,2024-10-09 14:30:00,63400.0,CE,5.0,W,OP,,
NSE,D,40326,OPTIDX,0,BANKNIFTY-Oct2024-63400-PE,15.0,BANKNIFTY 09 OCT 63400 PUT,2024-10-09 14:30:00,63400.0,PE,5.0,W,OP,,
NSE,D,40334,OPTIDX,0,BANKNIFTY-Oct2024-77000-CE,15.0,BANKNIFTY 09 OCT 77000 CALL,2024-10-09 14:30:00,77000.0,CE,5.0,W,OP,,
NSE,D,40335,OPTIDX,0,BANKNIFTY-Oct2024-77000-PE,15.0,BANKNIFTY 09 OCT 77000 PUT,2024-10-09 14:30:00,77000.0,PE,5.0,W,OP,,
NSE,D,43554,OPTIDX,0,BANKNIFTY-Oct2024-35000-CE,15.0,BANKNIFTY 09 OCT 35000 CALL,2024-10-09 14:30:00,35000.0,CE,5.0,W,OP,,
NSE,D,43555,OPTIDX,0,BANKNIFTY-Oct2024-35000-PE,15.0,BANKNIFTY 09 OCT 35000 PUT,2024-10-09 14:30:00,35000.0,PE,5.0,W,OP,,
NSE,D,43556,OPTIDX,0,BANKNIFTY-Oct2024-35500-CE,15.0,BANKNIFTY 09 OCT 35500 CALL,2024-10-09 14:30:00,35500.0,CE,5.0,W,OP,,
NSE,D,43559,OPTIDX,0,BANKNIFTY-Oct2024-35500-PE,15.0,BANKNIFTY 09 OCT 35500 PUT,2024-10-09 14:30:00,35500.0,PE,5.0,W,OP,,
NSE,D,43560,OPTIDX,0,BANKNIFTY-Oct2024-36000-CE,15.0,BANKNIFTY 09 OCT 36000 CALL,2024-10-09 14:30:00,36000.0,CE,5.0,W,OP,,
NSE,D,43562,OPTIDX,0,BANKNIFTY-Oct2024-36000-PE,15.0,BANKNIFTY 09 OCT 36000 PUT,2024-10-09 14:30:00,36000.0,PE,5.0,W,OP,,
NSE,D,43566,OPTIDX,0,BANKNIFTY-Oct2024-36500-CE,15.0,BANKNIFTY 09 OCT 36500 CALL,2024-10-09 14:30:00,36500.0,CE,5.0,W,OP,,
NSE,D,43574,OPTIDX,0,BANKNIFTY-Oct2024-36500-PE,15.0,BANKNIFTY 09 OCT 36500 PUT,2024-10-09 14:30:00,36500.0,PE,5.0,W,OP,,
NSE,D,43575,OPTIDX,0,BANKNIFTY-Oct2024-37000-CE,15.0,BANKNIFTY 09 OCT 37000 CALL,2024-10-09 14:30:00,37000.0,CE,5.0,W,OP,,
NSE,D,43576,OPTIDX,0,BANKNIFTY-Oct2024-37000-PE,15.0,BANKNIFTY 09 OCT 37000 PUT,2024-10-09 14:30:00,37000.0,PE,5.0,W,OP,,
NSE,D,43578,OPTIDX,0,BANKNIFTY-Oct2024-37500-CE,15.0,BANKNIFTY 09 OCT 37500 CALL,2024-10-09 14:30:00,37500.0,CE,5.0,W,OP,,
NSE,D,43580,OPTIDX,0,BANKNIFTY-Oct2024-37500-PE,15.0,BANKNIFTY 09 OCT 37500 PUT,2024-10-09 14:30:00,37500.0,PE,5.0,W,OP,,
NSE,D,43581,OPTIDX,0,BANKNIFTY-Oct2024-38000-CE,15.0,BANKNIFTY 09 OCT 38000 CALL,2024-10-09 14:30:00,38000.0,CE,5.0,W,OP,,
NSE,D,43582,OPTIDX,0,BANKNIFTY-Oct2024-38000-PE,15.0,BANKNIFTY 09 OCT 38000 PUT,2024-10-09 14:30:00,38000.0,PE,5.0,W,OP,,
NSE,D,43583,OPTIDX,0,BANKNIFTY-Oct2024-38500-CE,15.0,BANKNIFTY 09 OCT 38500 CALL,2024-10-09 14:30:00,38500.0,CE,5.0,W,OP,,
NSE,D,43584,OPTIDX,0,BANKNIFTY-Oct2024-38500-PE,15.0,BANKNIFTY 09 OCT 38500 PUT,2024-10-09 14:30:00,38500.0,PE,5.0,W,OP,,
NSE,D,43589,OPTIDX,0,BANKNIFTY-Oct2024-39000-CE,15.0,BANKNIFTY 09 OCT 39000 CALL,2024-10-09 14:30:00,39000.0,CE,5.0,W,OP,,
NSE,D,43590,OPTIDX,0,BANKNIFTY-Oct2024-39000-PE,15.0,BANKNIFTY 09 OCT 39000 PUT,2024-10-09 14:30:00,39000.0,PE,5.0,W,OP,,
